U,V,Y,d,Time,time,latitude,longitude,number,step,isobaricInhPa,valid_time,r,temperature,u,v,speed,direction,system_torque_knm,generator_speed_rpm,degradation,cycle_factor
0.004982755,7.694323955,46.5965422,0.000299372,02/01/2023 15:00,01/04/2024 01:00,37.0,4.5,0,0 days,975,01/04/2024 01:00,67.353836,288.60645,10.325989,2.9882202,10.74967482,196.1398237,777.3711303165568,1114.1445018011054,1.0,41.26660650909937
0.018643496,7.771380896,16.82815303,0.000298799,02/01/2023 16:00,01/04/2024 01:00,37.0,4.75,0,0 days,975,01/04/2024 01:00,65.27571,288.90332,10.982239,1.8182983,11.13174659,189.4010177,833.612803488519,1153.7441331206721,1.0,41.26660650909937
0.056136543,7.610364669,6.418297669,0.00030257,02/01/2023 17:00,01/04/2024 01:00,37.0,5.0,0,0 days,975,01/04/2024 01:00,61.865555,289.12598,11.715637,0.3583374,11.72111582,181.7519168,924.2206512577231,1214.8290026050836,1.0,41.26660650909937
0.104408792,6.912301799,3.555716897,0.000304113,02/01/2023 18:00,01/04/2024 01:00,36.75,4.5,0,0 days,975,01/04/2024 01:00,72.59212,288.88184,3.6541138,1.4511108,3.931700677,201.6588695,103.9916929720306,407.4990885602868,1.0,41.26660650909937
0.105577983,7.346037529,3.982395613,0.000302277,02/01/2023 19:00,01/04/2024 01:00,36.75,4.75,0,0 days,975,01/04/2024 01:00,68.21712,289.4502,3.994934,0.6845093,4.053153173,189.7228897,110.51565116378647,420.0869698384134,1.0,41.26660650909937
0.089683128,6.377579983,4.061191254,0.00029887,02/01/2023 20:00,01/04/2024 01:00,36.75,5.0,0,0 days,975,01/04/2024 01:00,62.33821,289.6963,3.7703247,-0.11236572,3.771998727,178.2929384,95.71518187137112,390.94686231257236,1.0,41.26660650909937
0.004331056,6.530735408,126.9296014,0.000299359,02/01/2023 21:00,01/04/2024 01:00,36.5,4.5,0,0 days,975,01/04/2024 01:00,71.771805,289.53613,0.38067627,-0.6699829,0.770578684,119.6047202,0.0,0.0,1.0,41.26660650909937
0.050180582,11.71981936,8.144568234,0.000201229,02/01/2023 22:00,01/04/2024 01:00,36.5,4.75,0,0 days,975,01/04/2024 01:00,64.25618,290.3662,-0.055847168,-0.83306885,0.834938689,86.16475095,0.0,0.0,1.0,41.26660650909937
0.098866706,10.50591011,4.1274951,0.000202497,02/01/2023 23:00,01/04/2024 01:00,36.5,5.0,0,0 days,975,01/04/2024 01:00,58.71321,290.7373,-0.93573,-0.65338135,1.141270267,34.92499541,0.0,0.0,1.0,41.26660650909937
0.06779939,10.86417259,6.018400819,0.000198863,03/01/2023 00:00,01/04/2024 01:00,36.25,4.5,0,0 days,975,01/04/2024 01:00,59.16243,291.333,0.3201294,-1.2647095,1.304596854,104.204628,0.0,0.0,1.0,41.26660650909937
0.032931089,10.79517347,10.01313617,0.000205921,03/01/2023 01:00,01/04/2024 01:00,36.25,4.75,0,0 days,975,01/04/2024 01:00,51.283524,292.3584,-0.34295654,-0.98638916,1.044309707,70.82800532,0.0,0.0,1.0,41.26660650909937
0.02566202,11.09506903,14.49656441,0.000197075,03/01/2023 02:00,01/04/2024 01:00,36.25,5.0,0,0 days,975,01/04/2024 01:00,47.857742,293.02832,-0.5685425,-0.6758423,0.883178005,49.92826389,0.0,0.0,1.0,41.26660650909937
0.08758872,10.06180462,4.58946915,0.000196759,03/01/2023 03:00,01/04/2024 01:00,36.0,4.5,0,0 days,975,01/04/2024 01:00,41.873367,294.5127,-0.7501831,-1.0947876,1.327152807,55.57982435,0.0,0.0,1.0,41.26660650909937
0.08011888,10.24451879,5.43961692,0.000195287,03/01/2023 04:00,01/04/2024 01:00,36.0,4.75,0,0 days,975,01/04/2024 01:00,40.11946,295.25293,-1.06073,-0.06451416,1.062690082,3.480472278,0.0,0.0,1.0,41.26660650909937
0.119146473,9.044501188,2.500079516,0.000199024,03/01/2023 05:00,01/04/2024 01:00,36.0,5.0,0,0 days,975,01/04/2024 01:00,40.670242,295.43848,-0.5314331,0.5145874,0.739744099,315.9226436,0.0,0.0,1.0,41.26660650909937
0.110588721,10.26318669,3.341052382,0.000195662,03/01/2023 06:00,01/04/2024 01:00,35.75,4.5,0,0 days,975,01/04/2024 01:00,30.267899,296.60645,0.36309814,-0.15240479,0.393786083,157.23053,0.0,0.0,1.0,41.26660650909937
0.083051656,9.61617904,3.565012949,0.000198997,03/01/2023 07:00,01/04/2024 01:00,35.75,4.75,0,0 days,975,01/04/2024 01:00,32.103836,297.13184,-0.6095581,1.1220093,1.276896999,298.5140681,0.0,0.0,1.0,41.26660650909937
